ID,Min,PPG,Tot Pts,birth_date,Player Name,team_code,team_join_date,Position,season,New In League,New In Team,time_in_league,max_minutes_in_position_past_season,max_minutes_by_signing_past_season,avg_ppg_position_team_high_minutes,points_last_season,avg_points_last_2_seasons,avg_points_last_3_seasons,minutes_last_season,avg_minutes_last_2_seasons,avg_minutes_last_3_seasons,minutes_last_season_same_team,avg_minutes_last_2_seasons_same_team,avg_minutes_last_3_seasons_same_team
17349,509,2.0,22,,Lennon,11,,MID,2016-17,False,False,0,,,,,,,,,,,,
17349,1906,2.2,65,,Lennon,90,,MID,2017-18,False,True,1,2837.0,,2.4,2.0,2.0,2.0,509.0,509.0,509.0,,,
17349,1214,2.6,41,,Lennon,90,,MID,2018-19,False,False,2,,3420.0,,2.2,2.1,2.1,1906.0,1207.5,1207.5,1906.0,1906.0,1906.0
17349,485,0.9,15,,Lennon,90,,MID,2019-20,False,False,3,,1710.0,,2.6,2.4000000000000004,2.266666666666667,1214.0,1560.0,1209.6666666666667,1214.0,1560.0,1560.0
17349,1541,2.1,60,,Lennon,90,,MID,2021-22,True,True,4,3410.0,,2.733333333333333,0.9,1.75,1.9000000000000001,485.0,849.5,1201.6666666666667,485.0,849.5,1201.6666666666667
17476,820,5.2,57,,Kompany,43,,DEF,2016-17,False,False,0,,,,,,,,,,,,
17476,1394,3.5,60,,Kompany,43,,DEF,2017-18,False,False,1,,,,5.2,5.2,5.2,820.0,820.0,820.0,820.0,820.0,820.0
17476,1220,3.4,58,,Kompany,43,,DEF,2018-19,False,False,2,,3195.0,,3.5,4.35,4.35,1394.0,1107.0,1107.0,1394.0,1107.0,1107.0
17601,0,0.0,0,,Carson,43,,GK,2019-20,True,True,0,3420.0,,4.4,,,,,,,,,
17601,90,7.0,7,,Carson,43,,GK,2020-21,False,False,1,,2480.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17601,0,0.0,0,,Carson,43,,GK,2021-22,False,False,2,,2843.0,,7.0,3.5,3.5,90.0,45.0,45.0,90.0,45.0,45.0
17601,0,0.0,0,,Carson,43,,GK,2022-23,False,False,3,,1910.0,,0.0,3.5,2.3333333333333335,0.0,45.0,30.0,0.0,45.0,30.0
17601,0,0.0,0,,Carson,43,,GK,2023-24,False,False,4,,2767.0,,0.0,0.0,2.3333333333333335,0.0,0.0,30.0,0.0,0.0,30.0
17601,0,0.0,0,1985-09-03,Carson,43,2021-07-20,GK,2024-25,False,False,5,,2327.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17740,1064,2.0,48,,Navas,43,,MID,2016-17,False,False,0,,,,,,,,,,,,
17745,2666,3.6,109,,Schmeichel,13,,GK,2016-17,False,False,0,,,,,,,,,,,,
17745,2965,3.7,123,,Schmeichel,13,,GK,2017-18,False,False,1,,,,3.6,3.6,3.6,2666.0,2666.0,2666.0,2666.0,2666.0,2666.0
17745,3420,3.2,120,,Schmeichel,13,,GK,2018-19,False,False,2,,3420.0,,3.7,3.6500000000000004,3.6500000000000004,2965.0,2815.5,2815.5,2965.0,2815.5,2815.5
17745,3420,4.1,156,,Schmeichel,13,,GK,2019-20,False,False,3,,3123.0,,3.2,3.45,3.5,3420.0,3192.5,3017.0,3420.0,3192.5,3017.0
17745,3420,3.4,128,,Schmeichel,13,,GK,2020-21,False,False,4,,1998.0,,4.1,3.65,3.6666666666666665,3420.0,3420.0,3268.3333333333335,3420.0,3420.0,3268.3333333333335
17745,3330,3.5,131,,Schmeichel,13,,GK,2021-22,False,False,5,,2345.0,,3.4,3.75,3.5666666666666664,3420.0,3420.0,3420.0,3420.0,3420.0,3420.0
17745,0,0.0,0,,Schmeichel,13,,GK,2022-23,False,False,6,,2101.0,,3.5,3.45,3.6666666666666665,3330.0,3375.0,3390.0,3330.0,3375.0,3390.0
